card_name,Bus,Subway,on_area_name,on_lon,on_lat,on_dong,on_hour,on_minute,on_second,off_area_name,off_lon,off_lat,off_dong,off_hour,off_minute,off_second,no_transfer,total_distance,total_time,route_id,Haversine,Circuity
+++0VxU0B9DrLE4nxWaOzEArKFNI3ep9kMPVTZVHGNM=,False,True,영등포시장역,126.905118,37.522694,1119074,12,42,8,충무로역,126.993624,37.561135,1102060,13,16,20,0,11000,2052,,8897.367673225355,1.23632071911584
+++0VxU0B9DrLE4nxWaOzEArKFNI3ep9kMPVTZVHGNM=,False,True,충무로역,126.993624,37.561135,1102060,16,2,9,중곡역,127.084283,37.565891,1105057,16,36,50,0,9400,2081,,8008.336597732509,1.1737768368354458
+++0VxU0B9DrLE4nxWaOzEArKFNI3ep9kMPVTZVHGNM=,False,True,중곡역,127.084283,37.565891,1105057,18,22,39,선유도역,126.893294,37.538159,1119062,19,19,46,0,20100,3427,,17116.78367426386,1.174286033083516
+++19/4InCnN/eZXlK0pT7oFlp3qEbVXHX4NFSiyAN8=,True,False,LG전자.문래중,126.885883,37.52039,1119076,16,11,56,문래역,126.89441200000002,37.519063,1119076,16,15,3,0,768,187,11110803.0,766.5398913478966,1.0019048045230052
+++3lFnkOIxAPXhin+oeJBZJeI8l5KOhgxcjhFqGTlc=,True,False,강남구청.강남세무서,127.047293,37.518428,1123078,18,4,57,청담동래미안아파트,127.04291200000002,37.517653,1123078,18,6,30,0,397,93,11110214.0,395.87862062695655,1.0028326343344016
+++F6kFULTd2oQ7KiAe3olIQ0mzelgLbSx+q6rqtJqA=,True,False,중동초등학교,126.910317,37.566667,1114073,9,12,48,연희104고지앞.구성산회관,126.925082,37.566285,1113076,9,16,56,0,1457,248,11110027.0,1302.0563869982932,1.1189991574473264
+++F6kFULTd2oQ7KiAe3olIQ0mzelgLbSx+q6rqtJqA=,True,False,홍대입구역,126.923352,37.55679,1114066,13,51,2,성산2교,126.91321299999998,37.563907,1114072,13,55,24,0,1432,262,41110070.0,1193.729519672543,1.1996017325539692
+++Mu6n16tNt3pAX8k72E1UlIZXRqojexmEcPIaArto=,False,True,압구정역,127.028481,37.526492,1123077,14,57,34,회현역,126.978434,37.558734,1102052,15,19,1,0,6700,1287,,5685.353573642184,1.1784667238748017
+++Mu6n16tNt3pAX8k72E1UlIZXRqojexmEcPIaArto=,False,True,을지로3가역,126.992593,37.566424,1101061,18,1,40,압구정역,127.028481,37.526492,1123077,18,16,6,0,6000,866,,5452.191576364905,1.100474903708415
+++PAYzWTdRTGJKcBiZ1g/w9Ik/WgyDTTve7H410Tbo=,False,True,창동역,127.047672,37.653205,1110063,9,51,57,미아사거리역,127.030084,37.613251,1109072,10,8,24,0,5700,987,,4704.914692242687,1.2114991180175865
+++PAYzWTdRTGJKcBiZ1g/w9Ik/WgyDTTve7H410Tbo=,False,True,미아사거리역,127.030084,37.613251,1109072,10,15,38,창동역,127.047672,37.653205,1110063,10,27,22,0,5700,704,,4704.914692242687,1.2114991180175865
+++PAYzWTdRTGJKcBiZ1g/w9Ik/WgyDTTve7H410Tbo=,True,False,창동동아청솔아파트,127.049803,37.65668,1110062,16,42,55,서울북부지방법원.검찰청.도봉역성황당,127.045102,37.677257,1110065,17,14,21,1,4324,1408,11110125.0,2325.174602295621,1.8596452910379115
