card_name,route_id,on_area_name,on_lon,on_lat,on_dong,on_hour,on_minute,on_second,off_area_name,off_lon,off_lat,off_dong,off_hour,off_minute,off_second,no_transfer,total_distance,total_duration,카드번호,노선ID,승차일시
+++0VxU0B9DrLE4nxWaOzEArKFNI3ep9kMPVTZVHGNM=,지하철,영등포시장역,126.90511799999999,37.522694,1119074,12,42,8,충무로역,126.993624,37.561135,1102060,13,16,20,0,11000,2052,+++0VxU0B9DrLE4nxWaOzEArKFNI3ep9kMPVTZVHGNM=,,20171019124208.0
+++0VxU0B9DrLE4nxWaOzEArKFNI3ep9kMPVTZVHGNM=,지하철,충무로역,126.993624,37.561135,1102060,16,2,9,중곡역,127.08428300000001,37.565891,1105057,16,36,50,0,9400,2081,+++0VxU0B9DrLE4nxWaOzEArKFNI3ep9kMPVTZVHGNM=,,20171019160209.0
+++0VxU0B9DrLE4nxWaOzEArKFNI3ep9kMPVTZVHGNM=,지하철,중곡역,127.08428300000001,37.565891,1105057,18,22,39,선유도역,126.893294,37.538159,1119062,19,19,46,0,20100,3427,+++0VxU0B9DrLE4nxWaOzEArKFNI3ep9kMPVTZVHGNM=,,20171019182239.0
+++19/4InCnN/eZXlK0pT7oFlp3qEbVXHX4NFSiyAN8=,버스,LG전자.문래중,126.885883,37.52039,1119076,16,11,56,문래역,126.89441200000002,37.519063,1119076,16,15,3,0,768,187,+++19/4InCnN/eZXlK0pT7oFlp3qEbVXHX4NFSiyAN8=,11110803.0,20171019161156.0
+++3lFnkOIxAPXhin+oeJBZJeI8l5KOhgxcjhFqGTlc=,버스,강남구청.강남세무서,127.047293,37.518428,1123078,18,4,57,청담동래미안아파트,127.04291200000002,37.517653,1123078,18,6,30,0,397,93,+++3lFnkOIxAPXhin+oeJBZJeI8l5KOhgxcjhFqGTlc=,11110214.0,20171019180457.0
+++F6kFULTd2oQ7KiAe3olIQ0mzelgLbSx+q6rqtJqA=,버스,중동초등학교,126.91031699999999,37.566666999999995,1114073,9,12,48,연희104고지앞.구성산회관,126.925082,37.566285,1113076,9,16,56,0,1457,248,+++F6kFULTd2oQ7KiAe3olIQ0mzelgLbSx+q6rqtJqA=,11110027.0,20171019091248.0
+++F6kFULTd2oQ7KiAe3olIQ0mzelgLbSx+q6rqtJqA=,버스,홍대입구역,126.92335200000001,37.55679,1114066,13,51,2,성산2교,126.91321299999998,37.563907,1114072,13,55,24,0,1432,262,+++F6kFULTd2oQ7KiAe3olIQ0mzelgLbSx+q6rqtJqA=,41110070.0,20171019135102.0
+++Mu6n16tNt3pAX8k72E1UlIZXRqojexmEcPIaArto=,지하철,압구정역,127.028481,37.526492,1123077,14,57,34,회현역,126.97843400000001,37.558734,1102052,15,19,1,0,6700,1287,+++Mu6n16tNt3pAX8k72E1UlIZXRqojexmEcPIaArto=,,20171019145734.0
+++Mu6n16tNt3pAX8k72E1UlIZXRqojexmEcPIaArto=,지하철,을지로3가역,126.992593,37.566424,1101061,18,1,40,압구정역,127.028481,37.526492,1123077,18,16,6,0,6000,866,+++Mu6n16tNt3pAX8k72E1UlIZXRqojexmEcPIaArto=,,20171019180140.0
+++PAYzWTdRTGJKcBiZ1g/w9Ik/WgyDTTve7H410Tbo=,지하철,창동역,127.04767199999999,37.653205,1110063,9,51,57,미아사거리역,127.030084,37.613251,1109072,10,8,24,0,5700,987,+++PAYzWTdRTGJKcBiZ1g/w9Ik/WgyDTTve7H410Tbo=,,20171019095157.0
